id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm;
858532,Stylish City Loft Apartment (No Load Shedding),4492187,Luz Zoraida,Ward 115,-33.92523,18.42385,Entire home/apt,1300,7,37,2024-01-31,0.29,1,179,1;
861257,The perfect place to stay and meet,4397998,Adam,Ward 77,-33.93011,18.40566,Private room,389,2,51,2024-05-06,0.39,17,364,4;
875916,Llandudno Penthouse  5 mins / beach / No loadsheds,4625439,Maureen,Ward 74,-34.00893,18.34488,Entire home/apt,1575,2,13,2024-03-09,0.19,4,364,4;
"1557974,""Constantia Valley, comfortable room"",8293590,Jon,Ward 62,-34.01182,18.44789,Private room,1000,2,11,2024-02-14,0.11,1,364,1";
1558929,Cape Town Seafront 1 Bedroom apartment,8297457,Gordon,Ward 115,-33.90209,18.40234,Entire home/apt,1148,5,72,2024-04-27,0.55,1,197,7;
879450,Mountain View Studio Apartment,692331,Louie,Ward 58,-33.97567,18.47233,Entire home/apt,1362,2,76,2022-03-20,0.58,2,365,0;
1565329,Treehouse in city centre,7051121,Sebastiaan,Ward 77,-33.93545,18.41664,Entire home/apt,800,15,4,2023-12-30,0.23,1,72,2;
887577,Lakehouse on the water in Ecoestate,4706907,Bridget,Ward 69,-34.11662,18.37807,Entire home/apt,10,2,2020-01-06,0.03,1,0,0;
1571355,2 bedroom apartment amazing views Albatross House,8355528,Andre,Ward 61,-34.19629,18.42767,Entire home/apt,1320,1,24,2023-12-12,0.34,4,266,7;
893053,At Greenmarket Place apartment - stunning views,4749338,Katia,Ward 115,-33.92222,18.41999,Entire home/apt,930,2,39,2024-05-04,0.31,2,278,6;
897063,Central and Beautiful,3007944,Ian,Ward 115,-33.91144,18.4116,Entire home/apt,670,3,140,2024-06-19,1.01,4,198,22;
1587516,Newly renovated apartment in Sea Point,8463032,Tanya,Ward 54,-33.91553,18.39491,Entire home/apt,4500,2,1,2020-02-10,0.02,1,179,0;
1595157,Cape Point Mountain Getaway - Cottage,8507045,Joel,Ward 61,-34.252960205078125,18.475013732910156,Entire home/apt,1086,2,162,2024-06-22,1.26,2,302,30;
"900141,""Kapstadt, Milnerton Garden Cottage"",4806391,Peter,Ward 55,-33.87818,18.49576,Entire home/apt,1167,4,31,2024-04-02,0.27,1,302,9";
900802,Belvedere on Barkley - Oak Suite,4812503,June,Ward 58,-33.96183,18.48047,Private room,650,2,17,2024-04-15,0.32,2,322,6;
